project,page_title,views
szl,Facebook,9
szl,Microsoft,8
szy,Facebook,10
tet,Facebook,10
tg,Google,11
tg,Microsoft,10
tk,Facebook,11
tk,Google,8
tk,Microsoft,10
tl,Facebook,8
tl,Google,6
tl,Microsoft,11
tly,Facebook,11
tly,Google,9
tr,Amazon,8
tr,Apple,4
tr,Facebook,17
tr,Google,21
tr,Microsoft,12
tr.m,Apple,2
tr.m,Facebook,13
tr.m,Google,3
tr.m,Oracle,1
tt,Facebook,11
tt,Google,10
tum,Facebook,10
tw,Facebook,10
tw,Google,12
tyv,Facebook,20
udm,Facebook,12
ug,Facebook,11
uk,Amazon,10
uk,Apple,2
uk,Facebook,14
uk,Google,11
uk,Microsoft,9
uk.m,Amazon,2
uk.m,Apple,1
uk.m,Facebook,6
uk.m,Google,3
uk.m,Tesla,2
uk.q,Facebook,1
uz,Facebook,10
uz,Google,11
uz,Microsoft,1
uz,Tesla,5
vec,Facebook,9
vep,Facebook,12
vi,Facebook,26
vi,Google,16
vi,Microsoft,8
vi,Tesla,1
vi.m,Facebook,12
vi.m,Google,12
vi.m,Microsoft,1
vls,Google,9
vo,Facebook,10
wa,Microsoft,9
war,Facebook,9
war,Google,9
war,Microsoft,7
wuu,Facebook,10
wuu,IBM,1
wuu,Microsoft,8
xmf,Apple,1
xmf,Facebook,10
xmf,Google,9
xmf,Microsoft,7
yo,Facebook,8
yo,Google,7
yo,Microsoft,13
zh,Amazon,11
zh,Apple,2
zh,Facebook,97
zh,Google,61
zh,IBM,6
zh,Microsoft,9
zh,Oracle,6
zh-min-nan,Amazon,11
zh-min-nan,Facebook,7
zh-min-nan,Google,8
zh-min-nan,Microsoft,8
zh-min-nan,Oracle,4
zh-yue,Amazon,8
zh-yue,Facebook,10
zh-yue,Google,12
zh.d,Apple,2
zh.m,Facebook,10
zh.m,Google,19
zh.m,Microsoft,1
zh.m.d,Apple,1
zu,Google,10
